Subject ,Complaint Number,Province,"Municipality / 
City",Barangay,Sitio,Longitude,Latitude,"Google Map Link
(Location Point)",Nature of Reported Illegal Act,Type of Commodity (Non-metallics),Actions Taken,Details ,"Date of
Action Taken (mm/dd/yyyy)",Laws Violated,No. of CDO Issued,Date Issued (mm/dd/yyyy),Remarks
"Alleged illegal extraction of sand and gravel along Kulalanum River situated at the border between Barangays Pamatdan and Languyin, Polillo, Quezon",MMD-IMC No. 2025-01,Quezon,Polillo,Pamatdan and Languyin,ND,122.010961°,14.696958°,"https://www.google.com/maps/search/?api=1&query=14.696958,122.010961",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"1. Mr. Alexander Briñas conducted sand and gravel extraction along a portion of Kulalanum River, wherein the extracted materials were sold to contractors for nearby construction projects. The said activity, however, is not covered by a proper authority or permit.

2. Mr. Rodelio Carullo allowed Messrs. Isarme Acuevera and Alexander Briñas, some time ago, to conduct sand and gravel extraction along a portion of Kulalanum River. ",10/31/2024,Theft of Minerals (Section 103 of RA 7942),1,1/3/2025,Cease and Desist Order dated 1/3/2025 to Mr. Alexander Briñas; Letter-Warning dated 1/3/2025 to Mr. Rodelio Carullo; Letter dated 1/3/2025 to the Municipal Mayor of Polillo
"Alleged illegal extraction of sand affecting a river situated between Barangays Dita and San Isidro Ibaba, Lemery, Batangas",MMD-IMC No. 2025-02,Batangas,Lemery,Dita and Sand Isidro Ibaba,ND,120.895278°,13.915556°,"https://www.google.com/maps/search/?api=1&query=13.915556,120.895278",Illegal Transport/Export of Minerals/Products/By-Products,Sand and Gravel,Conducted Investigation,"1. Clearing/dredging activities took place at the intermittent creek along the abovementioned barangays so as to remove the remnants left behind by the floodwaters of Severe Tropical Kristine which hit Batangas Province on 24 October 2024;

2. Approximately 1.5-2.0-meter thick soil/sediment accumulated within the stretch of the intermittent creek, leading to its shallowing;

3. About one meter depth of accumulated materials were removed/extracted, wherein the said materials were hauled and disposed to a vacant lot located in Barangay Cahilan, Lemery, Batangas;

4. According to Hon. Leonardo D. Atienza, Barangay Chairman of Dita, the aforesaid activities were part of the efforts of the Local Government Unit of Lemery to unclog the creek with silt/soil and restore its original depth; and

5. No Memorandum of Agreement was entered by the Municipal Government of Lemery with the Department of Public Works and Highways regarding the conduct of clearing/dredging activities. In addition, the disposal of dredged materials is not covered by a Special Permit to Transport and Dispose from the Provincial Government of Batangas. ",12/11/2024,Illegal Transport (Section 110 of RA 7942),0,NA,Letter dated 1/7/2025 to the Municipal Mayor of Lemery; Letter dated 1/7/2025 to DPWH - Batangas 1st District Engineering Office
"Alleged illegal operation of a mineral processing plant in Brgy. Balibago, Lian, Batangas",MMD-IMC No. 2025-03,Batangas,Lian,Balibago,ND,120.649722°,13.931944°,"https://www.google.com/maps/search/?api=1&query=13.931944,120.649722",Illegal Mineral Processing,Aggregates,Conducted Investigation,"1. Sto. Niño Limestone Crushing Services, Inc. (SNLCSI) is operating a crushing plant without a valid and existing authority or permit; 

2. In an interview with Ms. Stephanie Villabeto, Operations Manager of SNLCSI, she disclosed that the materials being processed by the crushing plant are excess materials from the cutting, removal and disposal activities of MAPT Trading and Construction (MAPT for brevity) in Barangay Sta. Ana, Municipality of Calatagan, Province of Batangas; and

3. Based on the Inventory of Local Government Unit-Issued Mining Permits in the Province of Batangas, no Special Permit to Transport and Dispose was issued to MAPT for the disposal of excess materials within Barangay Sta. Ana, Calatagan, Batangas. 
",12/13/2024,Others,1,1/9/2025,"Letter dated 1/7/2025 from Sto. Niño Limestone Crushing Services, Inc. to CENRO Calaca, requesting to temporarily hold the issuance of CDO

Stoppage Order dated 1/9/2025 to Sto. Niño Limestone Crushing Services, Inc.; Letter-Order dated 1/9/2025 to MAPT Trading and Construction 

Letter dated 1/15/2025 from CENRO Calaca to MGB 4A, endorsing the 12/16/2024 Investigation Report of the former, and endorsing the 1/7/2025 Letter-Request for Consideration of Sto. Niño Limestone Crushing Services, Inc.
'
Letter dated 1/28/2025 from MAPT Trading and Construction providing its official response on the allegations re: illegal transport of materials

Letter dated 2/25/2025 to MAPT Trading and Construction acknowledging and accepting its justification regarding the allegations

Inspection Report dated 3/10/2025 from CENRO Calaca wherein it was found that no operations were conducted by MAPT Trading and Construction as its operation was put on hold as the same is currently securing the necessary permit to start the project

Letter dated 4/14/2025 to the Provincial Government of Batangas endorsing the 3/10/2025 Inspection Report"
"Alleged treasure hunting activity in Brgy. Santa Catalina, Atimonan, Quezon",MMD-IMC No. 2025-04,Quezon,Atimonan,Santa Catalina,ND,121.801236°,14.015411°,"https://www.google.com/maps/search/?api=1&query=14.015411,121.801236",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. According to Mr. Darwin Lincoran, Barangay Tanod of Santa Catalina, unfamiliar individuals visited their barangay and purportedly entered caves to search for treasures; 

2. In an interview with Mr. Domingo Batiresna, Punong Lupon of Kapit-Bisig Association, Inc., he averred that the treasure hunting activity became more frequent in the subject area when an alleged “box of bills” was excavated and retrieved some time ago; and

3. Noticeable trails leading to the caves were observed. In addition, several bushes were cleared along the trails leading to the caves. However, the Investigating Team did not attempt to proceed to the inner portions of the caves where the alleged treasure hunting activity occurred as it was discerned as risky. ",12/23/2024,Not Applicable,NA,NA,Letter dated 1/9/2025 to the National Commission for Culture and the Arts
Alleged unauthorized extraction of sand and gravel from the permit area covered by Industrial Sand and Gravel Permit No. IP-SAG-IVA-037,MMD-IMC No. 2025-05,Quezon,Infanta,Banugao,ND,121.609471°,14.739825°,"https://www.google.com/maps/search/?api=1&query=14.739825,121.609471",Others(Please Specify in Remarks),Sand and Gravel,Conducted Investigation,"1. No ongoing mining operation was observed within ISGP No. IP-SAG-IVA-037 at the time of the investigation. A loader and a dump truck were observed in the area, however, no loading and hauling activity took place.

2. Traces of excavations forming a pit were observed in the area allegedly operated by the Brgy. Chairperson of Banugao.

3. After verifying the status of the permit area, the undersigned went to Barangay Hall to conduct an interview with the Brgy. Chairperson of Brgy. Banugao. As per the interview, Brgy. Chairperson Elena S. Serafines admitted to having operated within the area in question. However, she believed that the area is within the permit area covered by ISAGP No. IP-Q-336 of Ms. Evie May Cuerdo, which she manages. 

4. Based on the plotting of the geotagged photos, the area in question is confirmed to be within the ISAGP of Mr. C. A. Astoveza. ",1/10/2025,Theft of Minerals (Section 103 of RA 7942),1,3/21/2025,"Cease and Desist Order dated 3/21/2025 to Ms. Elena S. Serafines; Letter dated 3/21/2025 to Provincial Government of Quezon

Letter-Compliance dated 06/11/2025 from Ms. Elena S. Serafines wherein she has already planted the 300 trees within the required three-month period (With attached Certification dated 6/5/2025 from BLGU of Banugao)

Monitoring Report dated 7/9/2025 from CENRO Real confirming that Ms. Serafines has planted 300 native tree seedlings, in compliance with the 3/21/2025 CDO

Letter-Acknowledgment dated 7/29/2025 to Ms. Serafines re results of Compliance Monitoring of CENRO Real"
"Alleged illegal quarry operation in Barangay San Isidro, Rodriguez, Rizal",MMD-IMC No. 2025-06,Rizal,Rodriguez,San Isidro,ND,121.165833°,14.796667°,"https://www.google.com/maps/search/?api=1&query=14.796667,121.165833",Not Illegal Mining,Sand and Gravel,Conducted Investigation,"1. Automation Resources Corporation, formerly Montalban Resources Trading Inc., is the owner of the five (5) parcels of land with an aggregate land area of 114.5811 hectares located in Barangay San Isidro, Rodriguez, Rizal.

2. In an interview with Mr. Roberto Grabriel from J. C. Rodriguez Construction Corporation (JCRCC), he mentioned that the hauling road inside the subject property was established by the same to access the quarry and farm of Mr. Teodoro C. Rodriguez, Jr., issued with Quarry Permit No. QP-RIZ-054-B, situated in the same Barangay, by the Provincial Government of Rizal.

3. The area located northwest of QP-RIZ-054-B, which JCRCC developed to implement its Slope Stabilization Plan (SSP), apparently falls within the subject property and outside the permitted area of QP-RIZ-054-B 
",11/15/2024,Not Applicable,0,NA,Letter dated 1/27/2025 to Provincial Government of Rizal 
"Alleged illegal quarrying activity of Efren Ramirez Construction and General Services Construction along the river in Brgy. Sawang, Lobo, Batangas",MMD-IMC No. 2025-07,Batangas,Lobo,Sawang,ND,121.248889°,13.629167°,"https://www.google.com/maps/search/?api=1&query=13.629167,121.248889",Others(Please Specify in Remarks),Sand and Gravel,Conducted Investigation,"1. The Barangay Local Government of Sawang, Lobo, Batangas clarified that the activity in question was not quarrying, but rather a dredging/desilting operation aimed to mitigate the river from overflowing and mitigate flooding risks in the area. 

2. Hon. Daniel A. Ramirez, Jr., Barangay Chairman of Bgry. Sawang, highlighted that the ERCGSC was contracted and misconceptually authorized by the BLGU of Sawang to conduct dredging/desilting activity on along the river through a Barangay Resolution, RESOLUSYON BLG. 10, serye ng 2024 , dated 13 April 2024.

3. When questioned about the disposal of dredged materials, Engr. Mark Angelo Aquino, the mining engineer of ERCGSC, explained that the extracted/dredged materials were not transported or disposed elsewhere but were instead stockpiled directly beside the river, approximately 10 meters away from the dike. 

4.        During site inspection, the investigating team observed a stockyard with both old and newly deposited dredged materials, some of which were piled up to a height of four (4) to six (6) meters with tire imprints visible, suggesting that the deposition has recently occurred. A wheel loader was stationed near the constructed dike, indicating that some equipment has been mobilized recently.",1/16/2025,Not Applicable,NA,NA,Letter dated 2/14/2025 to DPWH District Engineering Office concerned 
"Alleged illegal mining operations within the 9.9014-hectare Permit Area under Industrial Sand and Gravel Permit No. IP-SAG-IVA-040 of Mr. Jose G. Olivares III situated in the Municipality of Magdalena, Province of Laguna",MMD-IMC No. 2025-08,Laguna,Magdalena,ND,ND,121.447854°,14.213652°,"https://www.google.com/maps/search/?api=1&query=14.213652,121.447854",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"1. There were ongoing illegal mining operations during the conduct of the investigation, i.e., a group of individuals extracting sand materials using shovels, sand scoops, and small boats in mining and loading the said materials, within the subject area. 

2. There were no boundary markers observed in the said permit area to determine the extent of the subject ISAGP.

3. The mining activities under ISAGP No. IP-SAG-IVA-040 of Mr. J. G. Olivares III is being conducted by YLAC. However, the plotting of this Office shows that:

a. The illegal mining operations of certain individuals are being undertaken within the proposed amendment of the location of the subject ISAGP; and

b. YLAC, the purported operator of Mr. J. G. Olivares III, is conducting its operation outside the bounds of the subject ISAGP and its proposed amendment area, which is approximately 129.86 meters and 79.72 meters away thereof, respectively.",1/27/2025,Theft of Minerals (Section 103 of RA 7942),1,1/30/2025,Cease and Desist Order dated 1/30/2025 to Mr. Angelito Silva; Letter-Warning dated 1/30/2025 to Mr. Jose G. Olivares III; Endorsement to MGB 4A's Legal Officer for the creation of a Confiscation Panel
"Alleged illegal extraction of sand and gravel in the various areas of the Municipality of Polillo, Quezon",MMD-IMC No. 2025-09,Quezon,Polillo,"Kalubakis, Pamatdan, and Taluong",ND,121.913555°,14.644209°,"https://www.google.com/maps/search/?api=1&query=14.644209,121.913555",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"1. Mr. Rafael Juntereal was confirmed to have been extracting sand along the easement of his beach resort in Barangay Kalubakis, Polillo, Quezon. Extraction pits were observed in the along with stockpiles of sand beside his house.

2. Mr. Fernando H. Ritual Jr. admitted to the extraction of sand and gravel along Malong Malaki River in Brgy. Pamatdan, Polillo, Quezon. It was also verified that the same commercially disposes of said materials at PhP50.00/sack.

3. It was found that Mr. Geoffrey Elit, Brgy. Chairperson of Taluong, Polillo, Quezon has been extracting sand from the beach to use as raw materials for his ""hollow blocks manufacturing business."" ",12/5-6/2024,Theft of Minerals (Section 103 of RA 7942),3,2/24/2025,"Cease and Desist Orders dated 2/26/2025 to Mr. Rafael Juntereal, Mr. Fernando H. Ritual Jr., and Mr. Geoffrey Elit 

Letter dated 2/27/2025 from DILG 4A informing DENR 4A that the complaint has been endorsed twice on 2/14/2025 to DILG - Quezon Provincial Office, with a directive to look into the matter and refer the same to the Barangay Chairman concerned for his information, comment and appropriate action"
"Alleged new quarry development in Maragondon, Cavite",MMD-IMC No. 2025-10,Cavite,Maragondon,Bucal I,ND,120.7495°,14.2495°,"https://www.google.com/maps/search/?api=1&query=14.2495,120.7495",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. The alleged new quarry development is under Stonehub, Inc. located in Brgy. Bucal I, Maragondon, Cavite.

2. Records show that Stonehub, Inc. has an approved PMRB Resolution recommending the issuance of a Temporary Quarry Permit, for a period not exceeding three months and renewable for similar period, until such time that the regular Permit has been issued.",1/31/2025,Not Applicable,NA,NA,Letter dated 2/12/2025 to the Provincial Government of Cavite
