CLASSIFICATION,TYPE,CONTRACT/ PERMIT/ PATENT/ APPLICATION NUMBER,CONTRACTOR/ PERMIT HOLDER/ PERMITTEE/ APPLICANT,PROPONENT,CONTACT NUMBER,OPERATOR,AREA (HAS.),DATE FILED,APPROVAL DATE,RENEWAL DATE,EXPIRATION DATE,BARANGAY,MUNICIPALITY/CITY,PROVINCE,"GOOGLE MAP LINK
(LOCATION POINT)",COMMODITY,STATUS,SOURCE OF RAW MATERIALS (FOR MPP ONLY)
Mining Rights,Mineral Production Sharing Agreement,029-95-IV,"Republic Cement & Building Materials, Inc."," Mr. John Reinier H. Hizon
 President
 Republic Cement & Building Materials, Inc.
 Menarco Tower, 32nd Street
 Bonifacio Global City, 1634 Taguig City ", 819-5506 to 15 , -- ,  321.1700 ,--,"September 29, 1995","September 29, 2020","September 29, 2045",Mapulo,Taysan,Batangas,https://maps.app.goo.gl/D3Ue1FfaCRo8AMaT8,"limestone
shale",Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,032-95-IV,Concrete Aggregates Corporation," Mr. Jose Emmanuel H. Jalandoni
 Chairman and President
 Concrete Aggregates Corporation
 7th Floor West Wing, Estancia Offices Capitol Commons
 Meralco Avenue, Pasig City 1605 ", 8631-1231 ," Helix Aggregates, Inc.
 7/F, Two World Square, Mckinly Hill
 Fort Bonifacio, Taquig City 1634 ",  192.0000 ,--,"December 29, 1995","December 29, 2020","December 29, 2045","San Isidro, San Roque",Angono,Rizal,https://maps.app.goo.gl/xx2Vt1BDVY1bKhtX7,Basalt,Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,035-96-IV,"Ionic Cementworks Industries, Inc."," Mr. Ferdinand K. Constantino 
 Chairman and President
 Ionic Cementworks Industries, Inc.
 No. 40 San Miguel Avenue
 Mandaluyong City 1550 "," 0632-664-2881
 634-8266 ", -- ,  35.2861 ,--,"February 21, 1996","February 21, 2021","February 21, 2046","Silangan Malicboy, Kanluran Malicboy",Pagbilao,Quezon,https://maps.app.goo.gl/RG5QqG7DsATdGAGH9,"marble
etc.",Care and Maintenance,N/A
Mining Rights,Mineral Production Sharing Agreement,055-96-IV,Concrete Aggregates Corporation," Mr. Jose Emmanuel H. Jalandoni
 Chairman and President
 Concrete Aggregates Corporation
 7th Floor West Wing, Estancia Offices Capitol Commons
 Meralco Avenue Pasig City 1605 ", 8631-1231 ," Helix Aggregates, Inc.
 7/F, Two World Square, Mckinly Hill
 Fort Bonifacio, Taquig City 1634 ",  19.9900 ,--,"October 23, 1996","October 23, 2021","October 23, 2046","San Isidro, San Roque",Angono,Rizal,https://maps.app.goo.gl/xx2Vt1BDVY1bKhtX7,"Andesite/
Basalt",Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,064-96-IV- Amended II,"Supreme Elite Resources Resources, Inc."," Ms. Angelita I. Lee,
President
Supreme Elite Resources Resources, Incorporated
251 Interior, Sumulong Highway
Mayamot, Antipolo City 1870 "," 645-3915
 645-3694
 645-5450
 645-5166 "," Good Seed Mining Corporation
 Lot 15, Block 9, Phase 1-A
 Marcos Highway, Inarawan, Antipolo City ",  76.7632 ,--,"March 07, 1996","March 07, 2021","March 07, 2046",Inarawan,Antipolo City,Rizal,https://maps.app.goo.gl/Dhi4TTJnqdbUSh1g6,"Andesite/
Basalt",Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,071-97-IV,Advantage Concrete Industries Corporation," Mr. Antonio E. Buenaventura
 President
 Advantage Concrete Industries Corporation
 153 EDSA Brgy Wack-Wack
 Mandaluyong City 1555 "," 726-7016
 726-1969 ", -- ,"  2,336.8042 ",--,"July 29, 1997",--,"July 29, 2032","Baha, Hukay, Punta, Talibayog",Calatagan,Batangas,https://maps.app.goo.gl/yoGsRBqBQCYS1X1r5,"limestone
shale
etc.",Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,074-97-IV,Rapid City Realty and Development Corporation," Ms. Veronica Iñiguez Lee
 President
 Rapid City Realty and Development Corporation 
 167 Sumulong Highway, Mayamot
 Antipolo City 1870 "," 645-3915
 645-3694
 645-5450
 645-5166 ", -- ,  87.1498 ,--,"September 24, 1997","September 24, 2022","September 24, 2047",Dalig,Teresa,Rizal,https://maps.app.goo.gl/ekZAw6HVCTUyjbTu9,"silica
etc.",Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,087-97-IV,Rapid City Realty and Development Corporation," Ms. Veronica Iñiguez Lee
 President
 Rapid City Realty and Development Corporation
 167 Sumulong Highway, Mayamot
 Antipolo City 1870 "," 645-3915
 645-3694
 645-5450
 645-5166 ", -- ,  40.0000 ,--,"November 20, 1997","November 20, 2022","November 20, 2047",Singalong,Antipolo,Rizal,https://maps.app.goo.gl/fDaC5hX4rbML13db8,"silica
etc.",Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,102-97-IV,Teresa Marble Corporation," Ms. Annie G. Dee
 President
 Teresa Marble Corporation
 117 Shaw Boulevard, Pasig City 1600 ", 631-9123 ," Quarry Ventures Phils., Inc.
 117 Shaw Blvd., Pasig City 1600 ",  55.9008 ,--,"December 29, 1997","December 29, 2022","December 29, 2047",San Luis,Antipolo,Rizal,https://maps.app.goo.gl/sYgB3bawE4XjbD2s8,marbleized limestone,Operating,N/A
Mining Rights,Mineral Production Sharing Agreement,116-98-IV,Island Quarry and Aggregates Corporation," Mr. Herbert M. Consunji
 President
 Island Quarry and Aggregates Corporation 
 Sitio Tagbac, San Jose, Antipolo City 1870 "," 8849-3585
 697-7000 ", -- ,  70.9800 ,--,"June 04, 1998","March 03, 2025","June 04, 2048",San Jose,Antipolo,Rizal,https://maps.app.goo.gl/uCrCtnbrhZqkyLVU9,"silica
etc.",Care and Maintenance,N/A
